activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
tanh,0.0001,27,80,0.3235203392375886,4.932669778766529
tanh,0.0001,30,20,0.3240796189110499,5.158160094975564
logistic,0.0001,3,10,0.325138289379724,4.442806107958768
logistic,0.0001,5,60,0.32537055471907544,4.533113682758716
logistic,0.0001,6,20,0.3254927223195647,4.600379228008456
logistic,0.0001,6,10,0.3261440121391508,4.509606512801688
relu,0.0001,16,10,0.3268979128711679,5.496141456893383
relu,0.0001,32,20,0.32691245724920254,5.054076586602209
tanh,0.0001,21,60,0.3269348467489145,4.963078102719308
relu,0.0001,1,10,0.32705012139170414,5.277167913886404
tanh,0.0001,1,10,0.3272257693057114,5.496738452635404
relu,0.0001,12,10,0.3280978396985948,7.471625279512407
relu,0.0001,11,20,0.32902141221692566,5.9184206682082054
tanh,0.0001,15,60,0.3290969370998951,7.493719997982942
logistic,0.0001,4,10,0.33004747407913754,4.59032587290106
tanh,0.0001,26,60,0.3304323415089505,6.377455180296029
relu,0.0001,24,60,0.3304598184291742,6.511103157882197
tanh,0.0001,24,60,0.3311140316105744,5.883920106271958
tanh,0.0001,22,60,0.3318881272534663,6.638743229027446
tanh,0.0001,18,80,0.3322234957177182,5.786485826326485
tanh,0.0001,26,80,0.3323811391860138,7.2893796753922135
tanh,0.0001,24,80,0.33516923089940887,6.054148015327967
logistic,0.0001,4,80,0.33525019260458927,5.183926967012861
relu,0.0001,31,80,0.33620879336094023,5.548216025192558
relu,0.0001,14,40,0.33656153278832374,6.026746368406506
logistic,0.0001,2,10,0.33772421209978065,5.095093712188608
relu,0.0001,18,80,0.33939147728881874,5.954713001939045
tanh,0.0001,29,80,0.347119572102015,5.976344103884664
logistic,0.0001,1,60,0.35557472096158554,6.1872977116222865
logistic,0.0001,1,40,0.35622759882601,6.206427232430768
logistic,0.0001,1,20,0.3583566117646151,6.112961004217309
logistic,0.0001,1,10,0.3607718529840061,6.272519651549792
logistic,0.0001,1,80,0.5909918847695693,17.791088433524642
tanh,0.0001,29,60,0.6331543132371326,29.813451989939033
tanh,0.0001,34,80,0.6768407922119558,35.850034983453476
tanh,0.0001,25,10,0.710130488960191,40.642013646258526
tanh,0.0001,34,20,0.7130261774630581,40.94193123767748
tanh,0.0001,33,40,0.7138154249201161,39.404841835752805
tanh,0.0001,31,20,0.7146768543012225,39.09644442265921
tanh,0.0001,34,40,0.7176347167733033,38.67968752165648
tanh,0.0001,28,20,0.7178052001307463,45.09036137535414
tanh,0.0001,31,60,0.7214451978752111,40.95911479587998
tanh,0.0001,35,20,0.7253723944083923,45.54823985377901
tanh,0.0001,30,40,0.7264746260441545,40.6622909062868
tanh,0.0001,27,10,0.7277415727497697,36.60437981412503
tanh,0.0001,31,40,0.7347871823479392,37.17397025298074
tanh,0.0001,27,40,0.7349014974056927,45.83178860735359
tanh,0.0001,30,10,0.7394197736426904,45.142048031620554
tanh,0.0001,28,40,0.742072195621309,37.60159704143382
tanh,0.0001,33,10,0.7455954905902106,48.184756761106144
tanh,0.0001,37,20,0.746078243171732,37.610509547018786
tanh,0.0001,38,60,0.7469419390047415,39.69012513511139
tanh,0.0001,29,20,0.7498157713476479,51.15282213872932
tanh,0.0001,32,10,0.7529288051787588,39.650321014788524
tanh,0.0001,29,10,0.7582982637071302,39.36607549895283
tanh,0.0001,36,40,0.7584794349474278,39.97183427278495
tanh,0.0001,39,20,0.7585288863514359,43.59397881033657
